H2                   200  6000  1000
-3.50508352E-01  4.26511243E-02 -2.90979373E-05  1.05403914E-08 -1.60059854E-12  1.49933591E+04  2.67295696E+01
C3H5O                300  5000  1000
 9.17478660E+00  2.15854460E-02 -6.44121340E-06  9.37556810E-10 -5.42898040E-14  3.86668750E+03 -2.10232890E+01
 2.92045330E-02  4.80170620E-02 -3.53442340E-05  1.53350650E-08 -2.80776990E-12  6.38212010E+03  2.60612530E+01
C4H7O                300  5000  1000
 9.17478660E+00  2.15854460E-02 -6.44121340E-06  9.37556810E-10 -5.42898040E-14  3.86668750E+03 -2.10232890E+01
 2.92045330E-02  4.80170620E-02 -3.53442340E-05  1.53350650E-08 -2.80776990E-12  6.38212010E+03  2.60612530E+01
C3H5O3               300  5000  1000
 9.17478660E+00  2.15854460E-02 -6.44121340E-06  9.37556810E-10 -5.42898040E-14  3.86668750E+03 -2.10232890E+01
 2.92045330E-02  4.80170620E-02 -3.53442340E-05  1.53350650E-08 -2.80776990E-12  6.38212010E+03  2.60612530E+01
C4H7O3               300  5000  1000
